instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,kaggle_fold,high_card,cnt_REGR,cnt_CLASS,cnt_MULTICLASS
1,2011-01-01,1_winter,2011,01,00,NA,6_Sat,No,1_clear,3.2799999999999994,3.0014000000000003,0.81,NA,3,13,16,train,0.81,2.833213344056216,0_low,0_low
2,2011-01-01,1_winter,2011,01,01,0,6_Sat,No,1_clear,2.34,1.9982000000000006,0.8,NA,8,32,40,train,0.8,3.713572066704308,0_low,0_low
3,2011-01-01,1_winter,2011,01,02,NA,6_Sat,No,1_clear,2.34,1.9982000000000006,0.8,NA,5,27,32,train,0.8,3.4965075614664802,0_low,0_low
4,2011-01-01,1_winter,2011,01,03,0,6_Sat,No,1_clear,3.2799999999999994,3.0014000000000003,0.75,NA,3,10,13,train,0.75,2.6390573296152584,0_low,0_low
5,2011-01-01,1_winter,2011,01,04,0,6_Sat,No,1_clear,3.2799999999999994,3.0014000000000003,0.75,NA,0,1,1,train,0.75,0.6931471805599453,0_low,0_low
6,2011-01-01,1_winter,2011,01,05,0,6_Sat,No,2_misty,3.2799999999999994,1.0015999999999998,0.75,6.0032,0,1,1,train,0.75,0.6931471805599453,0_low,0_low
7,2011-01-01,1_winter,2011,01,06,0,6_Sat,No,1_clear,2.34,1.9982000000000006,0.8,NA,2,0,2,train,0.8,1.0986122886681098,0_low,0_low
8,2011-01-01,1_winter,2011,01,07,0,6_Sat,No,1_clear,1.4000000000000004,1.0015999999999998,0.86,NA,1,2,3,train,0.86,1.3862943611198906,0_low,0_low
9,2011-01-01,1_winter,2011,01,08,NA,6_Sat,No,1_clear,3.2799999999999994,3.0014000000000003,0.75,NA,1,7,8,train,0.75,2.1972245773362196,0_low,0_low
10,2011-01-01,1_winter,2011,01,09,0,6_Sat,No,1_clear,7.040000000000001,7.000999999999998,0.76,NA,8,6,14,train,0.76,2.70805020110221,0_low,0_low
11,2011-01-01,1_winter,2011,01,10,0,6_Sat,No,1_clear,9.86,9.997399999999999,0.76,16.997899999999998,12,24,36,train,0.76,3.6109179126442243,0_low,0_low
12,2011-01-01,1_winter,2011,01,11,0,6_Sat,No,1_clear,8.919999999999998,5.997799999999998,0.81,19.0012,26,30,56,train,0.81,4.04305126783455,0_low,0_low
13,2011-01-01,1_winter,2011,01,12,0,6_Sat,No,1_clear,11.739999999999998,11.997200000000003,0.77,19.0012,29,55,84,train,0.77,4.442651256490317,0_low,0_low
14,2011-01-01,1_winter,2011,01,13,0,6_Sat,No,2_misty,13.620000000000001,13.997,0.72,19.999499999999998,47,47,94,train,0.72,4.553876891600541,0_low,0_low
15,2011-01-01,1_winter,2011,01,14,0,6_Sat,No,2_misty,13.620000000000001,13.997,0.72,19.0012,35,71,106,train,0.72,4.672828834461906,0_low,0_low
16,2011-01-01,1_winter,2011,01,15,0,6_Sat,No,2_misty,12.68,13.000399999999999,0.77,19.999499999999998,40,70,110,train,0.77,4.709530201312334,0_low,0_low
17,2011-01-01,1_winter,2011,01,16,0,6_Sat,No,2_misty,11.739999999999998,11.997200000000003,0.82,19.999499999999998,41,52,93,train,0.82,4.543294782270004,0_low,0_low
18,2011-01-01,1_winter,2011,01,17,0,6_Sat,No,2_misty,12.68,13.000399999999999,0.82,19.0012,15,52,67,train,0.82,4.219507705176107,0_low,0_low
19,2011-01-01,1_winter,2011,01,18,0,6_Sat,No,3_light rain,11.739999999999998,11.997200000000003,0.88,16.997899999999998,9,26,35,train,0.88,3.58351893845611,0_low,0_low
20,2011-01-01,1_winter,2011,01,19,0,6_Sat,No,3_light rain,11.739999999999998,11.997200000000003,0.88,16.997899999999998,6,31,37,train,0.88,3.6375861597263857,0_low,0_low
21,2011-01-01,1_winter,2011,01,20,0,6_Sat,No,2_misty,10.8,11.000600000000002,0.87,16.997899999999998,11,25,36,train,0.87,3.6109179126442243,0_low,0_low
22,2011-01-01,1_winter,2011,01,21,0,6_Sat,No,2_misty,10.8,11.000600000000002,0.87,12.998000000000001,3,31,34,train,0.87,3.5553480614894135,0_low,0_low
23,2011-01-01,1_winter,2011,01,22,0,6_Sat,No,2_misty,10.8,11.000600000000002,0.94,15.001299999999999,11,17,28,train,0.94,3.367295829986474,0_low,0_low
